fnd_PConc,neigh_NridgHt,mas_vnr_type_Stone,neigh_NoRidge,extsecond_VinylSd,extfirst_VinylSd,ctrl_air_Y,zoning_RL,roof_style_Hip,gar_type_BuiltIn,neigh_StoneBr,roof_style_Gable,gar_type_None,zoning_RM,fnd_CBlock,gar_type_Detchd,mas_vnr_type_None,age_of_prop,SalePrice,OverallQual,GrLivArea,ExterQual,GarageArea,TotalBsmtSF,1stFlrSF,BsmtQual,FullBath,GarageFinish,TotRmsAbvGrd,FireplaceQu,YearRemodAdd,HeatingQC,BsmtFinSF1,BsmtExposure,LotFrontage,WoodDeckSF,2ndFlrSF,OpenPorchSF,BsmtFinType1,HalfBath,GarageQual,LotArea,GarageCond,Electrical,PavedDrive,BsmtFullBath,BsmtUnfSF,BsmtCond
1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,345000,9,2324,4,736,1175,1182,5,3,3,11,4,2006,4,998,1,85.0,147,1142,21,6,0,3,11924,3,4,2,1,177,3
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,46,144000,5,912,2,352,912,912,3,1,1,4,0,1962,2,737,1,74.4375,140,0,0,5,0,3,12968,3,4,2,1,175,3
1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,279500,7,1494,3,840,1494,1494,4,2,2,7,4,2007,4,0,3,91.0,160,0,33,1,0,3,10652,3,4,2,0,1494,3
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,48,157000,6,1253,2,352,1253,1253,3,1,2,5,2,1960,2,733,1,76.46236559139786,0,0,213,4,1,3,10920,3,4,2,1,520,3
0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,78,132000,7,854,2,576,832,854,3,1,1,5,0,2001,4,0,1,51.0,48,0,112,1,0,3,6120,3,3,2,0,832,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,40,149000,6,1004,2,480,1004,1004,3,1,3,5,3,1970,4,578,1,76.46236559139786,0,0,0,5,0,3,11241,3,4,2,1,426,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,39,90000,4,1296,2,516,0,1296,0,2,1,6,0,1967,2,0,0,72.0,0,0,0,0,0,3,10791,3,4,2,0,0,0
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,4,159000,5,1114,2,576,1114,1114,3,1,1,6,0,2004,4,646,1,66.0,0,0,102,6,1,3,13695,3,4,2,1,468,3
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,51,139000,5,1339,2,294,1029,1339,3,1,1,6,0,1965,2,504,1,70.0,0,0,0,2,0,3,7560,3,4,2,0,525,3
1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,325300,8,2376,3,853,1158,1158,5,3,2,9,4,2006,4,0,3,101.0,240,1218,154,1,1,3,14215,3,4,2,0,1158,3
1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,77,139400,7,1108,2,280,637,1108,3,1,1,6,4,1950,4,0,1,57.0,0,0,0,1,0,3,7449,3,2,0,0,637,3
1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,6,230000,8,1795,3,534,1777,1795,4,2,2,7,4,2002,4,0,1,75.0,171,0,159,1,0,3,9742,3,4,2,0,1777,3
1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,31,129900,5,1060,2,572,1040,1060,4,1,1,6,3,1976,2,840,1,44.0,100,0,110,6,0,3,4224,3,4,2,1,200,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,42,154000,5,1060,2,270,1060,1060,3,1,1,6,3,2001,4,188,2,74.4375,406,0,90,3,0,3,8246,3,4,2,1,204,3
1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,2,256300,8,1600,3,890,1566,1600,4,2,2,7,4,2007,4,0,1,110.0,0,0,56,1,0,3,14230,3,4,2,0,1566,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,59,134800,5,900,2,576,900,900,3,1,1,5,0,2000,2,234,2,60.0,222,0,32,4,0,3,7200,3,4,2,0,180,3
1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,3,306000,8,1704,3,772,1704,1704,5,2,2,7,4,2008,4,1218,1,98.0,0,0,50,6,0,3,11478,3,4,2,1,486,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,49,207500,5,1600,2,319,1484,1600,3,1,2,6,4,1997,2,1277,4,47.0,288,0,258,4,0,3,16321,3,4,2,1,207,3
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,81,68500,4,520,2,240,520,520,3,1,1,4,0,1950,1,0,1,60.0,49,0,0,1,0,2,6324,3,4,2,0,520,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,88,40000,4,1317,2,250,649,649,3,1,1,6,0,1950,2,0,1,50.0,0,668,54,1,0,3,8500,2,4,0,0,649,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,42,149350,5,1228,2,271,1228,1228,3,1,1,6,0,2006,3,0,1,74.4375,0,0,65,1,1,3,8544,3,4,2,0,1228,3
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,179900,8,1234,3,484,1234,1234,5,2,2,7,0,2007,4,0,3,85.0,0,0,30,1,0,3,11049,3,4,2,0,1234,3
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,51,165500,5,1700,2,447,1398,1700,3,1,2,6,4,1959,3,1018,1,70.0,0,0,38,3,1,3,10552,3,4,2,0,380,3
1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,277500,9,1561,4,556,1561,1561,5,2,3,6,4,2005,4,1153,1,60.0,203,0,47,6,0,3,7313,3,4,2,1,408,3
1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,2,309000,8,2452,3,691,1117,1132,5,3,3,9,4,2005,4,0,3,108.0,113,1320,32,1,1,3,13418,3,4,2,0,1117,3
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,15,145000,5,1097,2,672,1097,1097,4,1,1,6,0,1995,4,0,1,112.0,392,0,64,1,1,3,10859,3,4,2,0,1097,3
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,55,153000,5,1297,2,498,1297,1297,3,1,3,5,3,1990,3,1213,1,74.0,0,0,0,3,0,3,8532,3,4,2,0,84,3
0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,57,109000,5,1057,2,246,1057,1057,3,1,1,5,0,2007,2,731,1,68.0,0,0,52,6,0,3,7922,3,4,2,1,326,3
1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,53,82000,4,1152,2,0,0,1152,0,2,0,6,0,1955,2,0,0,65.0,0,0,0,0,0,0,6040,0,1,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,41,160000,6,1324,2,440,1088,1324,3,2,2,6,3,1965,4,643,1,84.0,0,0,138,3,0,3,8658,3,4,2,0,445,3
0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,48,170000,5,1328,2,308,1350,1328,3,1,2,5,4,1959,3,967,4,115.0,0,0,104,4,1,3,16905,3,4,1,0,383,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,24,144000,5,884,2,504,840,884,4,1,2,5,0,1983,3,747,3,71.5,240,0,0,5,0,3,9180,4,4,2,1,0,3
0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,33,130250,5,938,2,308,938,938,4,1,1,5,0,1980,2,280,3,71.6825396825397,145,0,0,2,0,3,9200,3,4,2,1,167,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,47,141000,5,1150,2,300,1150,1150,3,1,2,6,0,1959,4,179,1,70.0,0,0,0,5,0,3,7945,3,3,2,1,465,3
1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,5,319900,9,1752,4,576,1752,1752,5,2,2,6,4,2005,4,456,1,61.0,196,0,82,6,0,3,7658,3,4,2,1,1296,3
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,6,239686,7,2149,3,670,1434,1518,5,1,2,6,5,2003,4,1351,1,48.0,168,631,43,6,1,3,12822,3,4,2,1,83,3
1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,249700,8,1656,3,826,1656,1656,4,2,2,7,0,2006,4,24,3,84.0,0,0,146,6,0,3,11096,3,4,2,0,1632,3
0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,89,113000,4,1452,2,0,736,736,3,2,0,8,0,2008,3,0,1,33.0,0,716,0,1,0,0,4456,0,4,0,0,736,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,41,127000,5,955,2,386,955,955,3,1,1,6,0,1966,4,763,1,66.0,0,0,0,4,0,3,7742,3,4,2,1,192,3
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,10,177000,6,1470,2,388,794,794,4,2,3,6,0,1997,3,182,3,79.87755102040815,0,676,75,6,0,3,13869,3,4,2,0,612,3
1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,72,114500,6,1176,2,528,816,816,3,1,1,6,4,1950,2,0,1,52.0,112,0,0,1,0,3,6240,3,4,2,0,816,3
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,47,110000,5,816,1,516,816,816,4,1,1,5,0,1963,2,104,4,110.0,106,0,0,2,0,3,8472,3,4,2,1,0,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,25,385000,9,1842,3,894,1842,1842,5,0,3,5,4,1987,3,1810,4,68.0,857,0,72,6,1,3,50271,3,4,2,2,32,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,52,130000,5,1360,2,572,384,1360,3,1,1,6,3,1955,2,384,1,60.0,0,0,50,5,0,3,7134,3,4,2,0,0,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,44,180500,6,1425,2,576,1425,1425,3,2,2,7,4,1964,3,490,1,100.0,0,0,0,4,0,3,10175,3,4,2,0,935,3
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,10,172500,8,1739,3,480,970,983,4,2,3,7,0,2000,4,649,1,24.0,115,756,0,6,1,3,2645,3,4,2,1,321,3
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,2,196500,7,1720,3,565,860,860,4,2,2,7,0,2004,4,0,1,89.0,0,860,70,1,1,3,11645,3,4,2,0,860,3
1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,438780,10,2945,4,641,1410,1426,5,3,3,10,4,2006,4,0,4,66.0,192,1519,0,1,1,3,13682,3,4,2,0,1410,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,36,124900,5,780,2,352,780,780,3,1,1,4,0,1972,4,632,3,60.0,196,0,0,5,0,3,7200,3,4,2,0,148,3
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,2,158000,6,1158,2,576,1158,1158,4,1,1,5,0,2004,4,941,1,63.0,0,0,50,5,1,3,13072,3,4,2,1,217,3
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,87,101000,5,1111,2,288,530,581,3,1,1,6,0,1996,2,0,1,60.0,0,530,0,1,0,3,7200,3,4,0,0,530,2
1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,202500,8,1370,3,484,1370,1370,4,2,2,6,4,2006,4,24,2,44.0,120,0,49,6,0,3,6442,3,4,2,0,1346,4
0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,89,140000,7,1710,2,480,576,902,3,2,1,9,0,1950,3,0,1,50.0,12,808,11,1,0,3,10300,3,4,2,0,576,3
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,12,219500,7,2034,2,645,1057,1057,4,2,2,8,0,1998,4,739,1,71.6825396825397,576,977,36,6,1,3,9375,3,4,2,1,318,3
1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,3,317000,8,2473,3,852,1143,1143,5,2,2,9,4,2005,4,0,3,76.0,192,1330,151,1,1,3,9591,3,4,2,0,1143,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,40,180000,7,2207,2,576,1947,2207,4,2,2,7,4,1989,2,912,4,76.46236559139786,301,0,0,6,0,3,19900,3,4,2,1,1035,3
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,4,226000,7,1479,3,558,1453,1479,4,2,2,7,0,2003,4,1013,3,72.0,144,0,29,6,0,3,10665,3,4,2,1,440,3
0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,65,80000,4,747,2,220,747,747,3,1,1,4,0,1950,2,0,1,47.0,0,0,0,1,0,3,4608,3,4,2,0,747,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,53,225000,7,2287,3,667,1304,1304,3,2,3,7,3,1953,2,603,1,81.0,0,983,21,4,0,3,15593,3,4,2,0,701,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,34,244000,7,2223,2,516,2223,2223,4,2,3,8,4,1973,4,1880,4,95.0,300,0,0,5,0,3,13651,3,4,2,1,343,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,25,129500,4,845,2,360,845,845,3,1,1,4,0,2006,2,565,1,69.0,0,0,0,5,0,3,7599,3,4,2,1,280,3
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,11,185000,7,1718,2,427,832,885,4,2,3,7,3,1998,3,0,1,74.0,0,833,94,1,1,3,10141,3,4,2,0,832,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,56,144900,5,1086,2,490,1086,1086,3,1,1,6,0,2003,3,320,1,85.0,0,0,0,5,0,3,10200,3,4,2,1,404,3
0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,95,107400,3,1605,3,379,840,840,2,2,1,8,0,1950,3,0,1,60.0,0,765,0,1,0,3,5790,3,4,2,0,840,3
0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,36,91000,4,988,2,297,462,526,4,1,1,5,0,1973,2,462,4,21.0,120,462,101,6,0,3,1596,3,4,2,1,0,3
0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,52,135750,4,952,2,283,952,952,3,1,1,4,0,1956,4,228,1,76.46236559139786,0,0,0,5,0,3,8475,3,3,2,0,724,3
0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,60,127000,5,1285,2,240,672,1072,3,1,1,6,0,2001,2,336,1,50.0,0,213,0,4,0,3,8635,3,4,2,1,295,3
0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,42,136500,4,1768,2,0,1768,1768,3,2,0,8,0,1968,2,0,1,72.0,0,0,0,1,0,0,10778,0,4,2,0,1768,3
1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,99,110000,5,1230,2,440,440,682,3,1,1,5,0,1981,3,0,1,60.0,74,548,0,1,1,3,10440,3,4,2,0,440,3
0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,41,193500,6,2142,2,509,896,1182,4,2,3,8,4,1968,2,448,1,100.0,0,960,72,3,1,3,13000,3,4,2,0,448,3
1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,8,153500,6,1337,2,405,1237,1337,5,2,3,5,0,1998,4,1201,1,32.0,0,0,199,6,0,3,4500,3,4,2,1,36,4
1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,245000,8,1563,2,758,1563,1563,4,2,2,6,4,2007,4,33,1,78.0,144,0,99,6,0,3,10206,3,4,2,0,1530,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,47,126500,5,1065,2,461,1065,1065,3,1,1,6,0,1960,3,0,1,80.0,74,0,0,1,1,3,8892,3,4,2,0,1065,3
1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,14,168500,7,1474,2,400,384,804,4,2,3,7,3,1996,3,0,1,79.87755102040815,120,670,72,1,1,3,8530,3,4,2,0,384,3
0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,15,260000,8,2417,3,462,1288,1301,4,2,1,9,3,1992,4,0,1,121.0,127,1116,82,1,1,3,16059,3,4,2,0,1288,3
1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,4,174000,6,1560,3,400,684,684,4,2,3,6,4,2005,4,0,3,122.0,100,876,38,1,1,3,11911,3,4,2,0,684,3
1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,164500,6,1224,3,528,612,612,4,2,2,4,0,2009,4,0,3,40.0,0,612,234,1,1,3,3951,3,4,2,0,612,3
0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,94,85000,3,1526,1,0,1013,1013,3,1,0,6,0,1982,2,0,1,105.0,0,0,0,1,0,0,8470,0,4,0,0,1013,2
1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,13,123600,4,990,2,0,990,990,4,1,0,5,0,1995,4,588,1,60.0,0,0,0,6,0,0,8070,0,4,2,1,402,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,56,109900,4,1040,2,420,0,1040,0,1,1,4,0,1950,2,0,0,60.0,0,0,29,0,0,3,7200,3,3,2,0,0,0
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,45,98600,5,1235,2,480,1235,1235,3,1,1,6,0,1961,2,600,1,85.0,0,0,0,3,0,3,8500,3,4,2,0,635,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,88,163500,5,964,2,432,876,964,4,1,1,5,0,2006,4,713,1,80.0,0,0,0,5,0,3,13360,3,4,2,1,163,3
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,97,133900,6,2291,2,506,1214,1260,3,2,1,9,4,1998,4,1046,2,60.0,0,1031,0,3,0,3,7200,3,4,2,0,168,2
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,10,204750,6,1786,2,684,824,905,4,2,2,7,0,1997,4,648,1,69.0,0,881,162,6,1,3,9337,3,4,2,1,176,3
1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,16,185000,6,1470,4,420,680,680,4,2,3,6,3,1993,3,310,1,79.87755102040815,232,790,63,5,1,3,9765,3,4,2,0,370,4
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,7,214000,7,1588,3,472,1588,1588,4,2,2,6,0,1999,4,1162,3,78.0,158,0,29,5,0,3,10264,3,4,2,0,426,3
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,42,94750,4,960,2,432,960,960,3,1,3,6,0,1965,2,520,1,73.0,120,0,0,3,0,3,10921,3,2,1,1,440,3
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,90,83000,5,835,2,366,458,835,3,1,1,5,0,1950,1,108,1,85.0,0,0,0,5,0,2,10625,3,4,2,0,350,3
0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,51,128950,4,1225,2,0,950,1225,3,1,0,6,0,1959,1,569,1,77.0,352,0,0,5,1,0,9320,0,4,2,1,381,3
1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,33,205000,6,1610,2,480,1610,1610,3,2,2,6,3,2001,3,1200,2,81.28888888888889,168,0,68,5,0,3,10603,3,4,2,1,410,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,25,178000,6,1732,3,476,741,977,4,2,3,7,3,1985,2,0,1,77.0,192,755,46,1,1,3,9206,3,4,2,0,741,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,30,118964,5,1535,2,410,0,1535,0,2,1,8,0,1979,2,0,0,64.0,0,0,0,0,0,3,7018,3,4,2,0,0,0
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,198900,7,1226,2,740,1226,1226,4,2,2,6,0,2009,4,0,1,94.0,0,0,36,1,0,3,10402,3,4,2,0,1226,3
1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,76,169500,7,1818,2,240,1040,1226,3,1,1,7,3,1950,4,224,1,62.5,0,592,0,2,1,3,7758,3,2,2,0,816,3
1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,5,250000,8,1992,3,648,1053,1053,5,2,2,9,4,2004,4,0,1,75.0,140,939,45,1,1,3,9375,3,4,2,0,1053,3
0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,122,100000,4,1047,2,273,641,1047,2,1,1,6,0,1995,3,0,1,60.0,0,0,0,1,0,2,10800,2,4,0,0,641,3
0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,60,115000,5,789,2,250,789,789,3,1,1,5,0,1950,4,104,1,50.0,0,0,0,5,0,3,6000,3,4,2,0,516,3
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,88,115000,5,1517,2,0,793,997,3,2,0,7,0,2005,2,0,1,85.0,0,520,0,1,0,0,8500,0,2,0,0,793,3
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,33,190000,6,1844,2,546,1844,1844,4,2,2,7,3,1977,4,705,1,105.0,0,0,122,4,0,3,11751,3,4,2,0,1139,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,52,136900,6,1855,2,325,994,1216,3,2,1,7,0,1972,3,444,1,75.0,182,639,0,3,0,3,9525,3,4,2,0,550,2
1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,10,180000,7,1430,2,400,384,774,4,2,3,7,3,2000,4,250,1,79.87755102040815,180,656,0,6,1,3,7750,3,4,2,0,134,3
1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,383970,7,2696,3,792,1264,1282,5,2,3,10,4,2007,4,984,3,77.0,120,1414,184,6,1,3,9965,3,4,2,1,280,3
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,54,217000,6,2259,2,450,1809,2259,4,2,1,7,4,1953,2,35,2,71.8048780487805,166,0,120,5,0,3,21000,3,4,2,1,905,3
0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,62,259500,6,2320,2,180,1028,1436,3,2,1,9,3,2002,4,774,1,61.0,224,884,0,5,1,3,7259,3,4,2,1,104,3
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,8,176000,6,1458,2,440,729,729,4,2,1,5,2,1999,3,419,1,34.0,0,729,32,6,1,3,3230,3,4,2,0,310,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,47,139000,5,1092,2,288,1092,1092,3,1,1,6,1,1962,2,170,1,74.4375,0,0,20,2,0,3,11616,3,4,2,0,252,3
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,155000,5,1125,2,430,1125,1125,4,1,1,5,0,2007,3,0,1,74.0,80,0,64,1,1,3,8536,3,4,2,0,1125,3
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,20,320000,7,3222,2,594,1673,1699,4,3,1,11,3,1990,3,1470,2,90.0,367,1523,0,6,0,3,12376,3,4,2,1,203,3
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,163990,6,1456,3,390,728,728,4,2,3,8,4,2006,4,0,1,65.0,0,728,24,1,1,3,8461,3,4,2,0,728,3
0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,37,180000,6,988,2,540,938,988,3,1,1,4,3,1969,4,938,4,83.46153846153847,0,0,130,5,0,3,21453,3,4,2,1,0,3
1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,68,100000,4,1123,2,264,732,772,3,1,1,4,0,1950,3,0,1,50.0,0,351,0,1,0,3,6060,3,4,1,0,732,3
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,50,136000,6,1080,2,288,1080,1080,3,1,1,5,0,1958,3,570,1,75.0,0,0,0,4,0,3,9464,3,4,2,0,510,3
1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,15,153900,6,1199,3,530,1199,1199,4,2,2,5,0,1993,4,300,1,55.0,0,0,63,6,0,3,7892,3,4,2,0,899,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,30,181000,6,1586,2,435,1362,1586,4,2,1,7,3,1998,2,0,1,48.0,192,0,0,1,0,3,17043,3,4,2,0,1362,2
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,71,84500,6,754,2,0,520,520,3,1,0,5,0,1982,3,490,3,60.0,53,0,0,6,0,0,6780,0,4,0,1,30,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,31,128000,6,958,2,440,1078,958,4,2,2,5,3,1976,2,120,1,32.285714285714285,0,0,205,5,0,3,4928,3,4,2,0,958,3
